abbreviation,Region,Hemisphere,Function,Index,Volume_vox,X_mm,Y_mm,Z_mm
F3t,Inferior Frontal Gyrus: Pars Triangularis (1),R,L,34,967,49.830403309,28.539813857,5.0217166494
f2_2,inferior frontal sulcus (2),R,LM,32,1138,43.940246046,18.51142355,28.377855888
P2,Inferior Parietal Gyrus (1),R,M,108,410,42.726829268,-53.13170732,47.585365854
T3_3,Inferior Temporal Gyrus (3),R,M,192,597,57.386934673,-46.33165829,-13.87269682
T3_4,Inferior Temporal Gyrus (4),R,M,194,226,54.061946903,-57.85840708,-10.54867257
ips2,intraparietal sulcus (2),R,M,112,719,37.415855355,-52.40055633,48.35605007
ips3,intraparietal sulcus (3),R,M,114,771,26.407263294,-61.66796368,46.280155642
F2_1,Middle Frontal Gyrus (1),R,M,20,516,41.30620155,44.341085271,13.437984496
F2O2,Middle Frontal Gyrus: Pars Orbitalis (2),R,M,40,370,39.718918919,50.221621622,-4.432432432
T2_3,Middle Temporal Gyrus (3),R,LM,184,241,62.340248963,-30.87966805,-4.705394191
T2_4,Middle Temporal Gyrus (4),R,L,186,269,56.795539033,-53.21933086,2.9665427509
pHIPP2,Parahippocampal Gyrus (2),R,M,324,301,28.611295681,-24.74418605,-18.63122924
CINGp2,Posterior Cingulate Gyrus (2),R,M,254,211,7.5260663507,-43.02369668,31.345971564
prec1,precentral sulcus (1),R,M,52,337,50.207715134,9.649851632,24.225519288
prec4,precentral sulcus (4),R,LM,58,540,43.655555556,0.9962962963,48.359259259
F1_2,Superior Frontal Gyrus (2),R,L,4,1168,12.020547945,45.058219178,41.820205479
f1_2,superior frontal sulcus (2),R,M,10,604,28.238410596,56.413907285,7.2152317881
T1_4,Superior Temporal Gyrus (4),R,L,168,729,60.046639232,-19.97530864,2.2030178326
STS1,superior temporal sulcus (1),R,L,170,85,52.117647059,13.364705882,-25.85882353
STS2,superior temporal sulcus (2),R,L,172,767,54.323337679,-2.495436767,-15.49934811
STS3,superior temporal sulcus (3),R,LM,174,641,53.054602184,-31.87519501,-0.271450858
STS4,superior temporal sulcus (4),R,L,176,840,54.614285714,-45.52857143,14.611904762
SMA2,Supplementary Motor Area (2),R,L,224,218,10.541284404,18.47706422,62.880733945
SMA3,Supplementary Motor Area (3),R,LM,226,275,6.3854545455,10.050909091,66.472727273
SMG7,Supramarginal Gyrus (7),R,L,100,125,55.36,-45.904,33.408
